Date,Open,High,Low,Close,Volume,Adj Close,Label(1 for raise and 0 for drop)
10/27/16,60.610001,60.830002,60.09,60.099998,28212400,60.099998,
10/26/16,60.810001,61.200001,60.470001,60.630001,29911600,60.630001,0
10/25/16,60.849998,61.369999,60.799999,60.990002,35137200,60.990002,0
10/24/16,59.939999,61,59.93,61,54067000,61,0
10/21/16,60.279999,60.450001,59.490002,59.66,80032200,59.66,1
10/20/16,57.5,57.52,56.66,57.25,49455600,57.25,1
10/19/16,57.470001,57.84,57.400002,57.529999,22878400,57.529999,0
10/18/16,57.529999,57.950001,57.41,57.66,19149500,57.66,0
10/17/16,57.360001,57.459999,56.869999,57.220001,23830000,57.220001,1
10/14/16,57.119999,57.740002,57.119999,57.419998,27402500,57.419998,0
10/13/16,56.700001,57.299999,56.32,56.919998,25313700,56.919998,1
10/12/16,57.110001,57.27,56.400002,57.110001,22177500,57.110001,0
10/11/16,57.889999,58.02,56.889999,57.189999,26497400,57.189999,0
10/10/16,57.91,58.389999,57.869999,58.040001,18196500,58.040001,0
10/7/16,57.849998,57.98,57.419998,57.799999,20089000,57.799999,1
10/6/16,57.740002,57.860001,57.279999,57.740002,16212600,57.740002,1
10/5/16,57.290001,57.959999,57.259998,57.639999,16726400,57.639999,1
10/4/16,57.27,57.599998,56.970001,57.240002,20085900,57.240002,1
10/3/16,57.41,57.549999,57.060001,57.419998,19189500,57.419998,0
9/30/16,57.57,57.77,57.34,57.599998,29910800,57.599998,0
9/29/16,57.810001,58.169998,57.209999,57.400002,25463500,57.400002,1
9/28/16,57.880001,58.060001,57.669998,58.029999,20536400,58.029999,0
9/27/16,56.93,58.060001,56.68,57.950001,28065100,57.950001,1
9/26/16,57.080002,57.139999,56.830002,56.900002,21688700,56.900002,1
9/23/16,57.869999,57.91,57.380001,57.43,19955300,57.43,0
9/22/16,57.919998,58,57.630001,57.82,19822200,57.82,0
9/21/16,57.509998,57.849998,57.080002,57.759998,33707300,57.759998,1
9/20/16,57.349998,57.349998,56.75,56.810001,17384000,56.810001,1
9/19/16,57.27,57.75,56.849998,56.93,20937100,56.93,0
9/16/16,57.630001,57.630001,56.75,57.25,44607000,57.25,0
9/15/16,56.150002,57.349998,55.98,57.189999,26847000,57.189999,1
9/14/16,56.389999,56.630001,56.029999,56.259998,24062500,56.259998,1
9/13/16,56.5,56.650002,56.049999,56.529999,30130200,56.529999,0
9/12/16,56,57.209999,55.610001,57.049999,29303000,57.049999,0
9/9/16,56.790001,57.52,56.209999,56.209999,35113900,56.209999,1
9/8/16,57.630001,57.790001,57.18,57.43,20146100,57.43,0
9/7/16,57.470001,57.84,57.41,57.66,17493400,57.66,0
9/6/16,57.779999,57.799999,57.209999,57.610001,16278400,57.610001,1
9/2/16,57.669998,58.189999,57.419998,57.669998,18900500,57.669998,0
9/1/16,57.009998,57.82,57.009998,57.59,26075400,57.59,1
8/31/16,57.650002,57.799999,57.299999,57.459999,20860300,57.459999,1
8/30/16,57.98,58.189999,57.610001,57.889999,16930200,57.889999,0
8/29/16,58.18,58.599998,58.099998,58.099998,16417200,58.099998,0
8/26/16,58.279999,58.700001,57.689999,58.029999,20971200,58.029999,1
8/25/16,57.880001,58.290001,57.779999,58.169998,18552600,58.169998,0
8/24/16,57.799999,58.040001,57.720001,57.950001,18151500,57.950001,1
8/23/16,57.900002,58.18,57.849998,57.889999,18732400,57.889999,1
8/22/16,57.599998,57.75,57.259998,57.669998,15221900,57.669998,1
8/19/16,57.43,57.73,57.200001,57.619999,17271000,57.619999,1
8/18/16,57.419998,57.700001,57.27,57.599998,14214300,57.599998,1
8/17/16,57.540001,57.68,57.23,57.560001,18856400,57.560001,1
8/16/16,57.610001,57.619999,57.27,57.439999,20523500,57.439999,1
8/15/16,58.009998,58.5,57.959999,58.119999,19283900,57.76,0
8/12/16,58.029999,58.189999,57.619999,57.939999,21655200,57.581115,1
8/11/16,58.029999,58.450001,58.029999,58.299999,18162300,57.938886,0
8/10/16,58.16,58.32,57.82,58.02,15756900,57.660621,1
8/9/16,58.169998,58.5,58.02,58.200001,16920700,57.839507,0
8/8/16,58.060001,58.09,57.779999,58.060001,19473500,57.700375,1
8/5/16,57.650002,58.209999,57.450001,57.959999,29335200,57.600992,1
8/4/16,56.799999,57.52,56.669998,57.389999,26587700,57.034523,1
8/3/16,56.68,57.110001,56.490002,56.970001,22075600,56.617126,1
8/2/16,56.849998,56.900002,56.310001,56.580002,35122000,56.229542,1
8/1/16,56.599998,56.75,56.139999,56.580002,26003400,56.229542,0
7/29/16,56.259998,56.759998,56.049999,56.68,30558700,56.328921,0
7/28/16,56,56.369999,55.720001,56.209999,37550400,55.861831,1
7/27/16,56.610001,56.799999,56.110001,56.189999,32327500,55.841955,1
7/26/16,56.52,57.290001,56.509998,56.759998,28079000,56.408424,0
7/25/16,56.470001,56.740002,56.259998,56.73,25610600,56.378611,1
7/22/16,56.080002,56.630001,55.779999,56.57,32157200,56.219602,1
7/21/16,55.98,56.23,55.759998,55.799999,32776700,55.454371,1
7/20/16,56.150002,56.84,55.529999,55.91,89893300,55.56369,0
7/19/16,53.709999,53.900002,52.93,53.09,53336500,52.761158,1
7/18/16,53.700001,54.34,53.549999,53.959999,31433900,53.625768,0
7/15/16,53.950001,54,53.209999,53.700001,32024400,53.36738,1
7/14/16,53.84,53.990002,53.580002,53.740002,24545500,53.407133,0
7/13/16,53.560001,53.860001,53.18,53.509998,25356800,53.178554,1
7/12/16,52.939999,53.400002,52.790001,53.209999,27317600,52.880413,1
7/11/16,52.5,52.830002,52.470001,52.59,22269200,52.264255,1
7/8/16,51.73,52.360001,51.549999,52.299999,28391000,51.97605,1
7/7/16,51.419998,51.610001,51.07,51.380001,19585200,51.061751,1
7/6/16,50.779999,51.540001,50.389999,51.380001,28167500,51.061751,0
7/5/16,50.830002,51.279999,50.740002,51.169998,24806400,50.853048,1
7/1/16,51.130001,51.720001,51.07,51.16,21400400,50.843112,1
6/30/16,50.720001,51.299999,50.5,51.169998,28527800,50.853048,0
6/29/16,49.91,50.720001,49.799999,50.540001,31304000,50.226953,1
6/28/16,48.919998,49.470001,48.669998,49.439999,38140700,49.133765,1
6/27/16,49.099998,49.150002,48.040001,48.43,50216300,48.130022,1
6/24/16,49.810001,50.939999,49.52,49.830002,133503000,49.521352,0
6/23/16,51.279999,52.060001,51.150002,51.91,29028800,51.588466,0
6/22/16,51.080002,51.459999,50.950001,50.990002,28816800,50.674167,1
6/21/16,50.200001,51.43,50.16,51.189999,34097800,50.872925,0
6/20/16,50.639999,50.830002,50.029999,50.07,35607900,49.759863,1
6/17/16,50.41,50.43,49.82,50.130001,45710500,49.819493,0
6/16/16,49.52,50.470001,49.509998,50.389999,31188600,50.077881,0
6/15/16,49.779999,50.119999,49.689999,49.689999,33757600,49.382216,1
6/14/16,49.900002,50.099998,49.57,49.830002,42577100,49.521352,0
6/13/16,49.580002,50.720001,49.060001,50.139999,83217800,49.829429,0
6/10/16,51.049999,52.049999,51.040001,51.48,25833200,51.16113,0
6/9/16,52,52,51.490002,51.619999,20305700,51.300262,0
6/8/16,52.02,52.439999,51.869999,52.040001,21149400,51.717662,0
6/7/16,52.240002,52.73,52.099998,52.099998,20866800,51.777288,0
6/6/16,51.990002,52.349998,51.889999,52.130001,18243300,51.807105,0
6/3/16,52.380001,52.419998,51.599998,51.790001,23081300,51.469211,1
6/2/16,52.639999,52.740002,51.84,52.48,22840800,52.154936,0
6/1/16,52.439999,52.950001,52.439999,52.849998,25324800,52.522643,0
5/31/16,52.259998,53,52.080002,53,37653100,52.671715,0
5/27/16,51.919998,52.32,51.77,52.32,17653700,51.995927,1
5/26/16,51.93,51.98,51.360001,51.889999,24335200,51.56859,1
5/25/16,51.919998,52.490002,51.790001,52.119999,24040200,51.797165,0
5/24/16,50.700001,51.709999,50.400002,51.59,34757900,51.270449,1
5/23/16,50.599998,50.68,49.98,50.029999,26118700,49.72011,1
5/20/16,50.48,51.220001,50.400002,50.619999,23905800,50.306456,0
5/19/16,50.470001,50.619999,49.82,50.32,23842400,50.008315,1
5/18/16,50.48,51.139999,50.299999,50.810001,24907500,50.495281,0
5/17/16,51.720001,51.73,50.360001,50.509998,27803500,50.197137,1
5/16/16,50.799999,51.959999,50.75,51.830002,20032000,51.151191,0
5/13/16,51.439999,51.900002,51.040001,51.080002,22592300,50.411014,1
5/12/16,51.200001,51.810001,50.919998,51.509998,24102800,50.835379,0
5/11/16,51.130001,51.779999,51,51.049999,24039100,50.381404,1
5/10/16,50.330002,51.099998,50.189999,51.02,22891000,50.351798,1
5/9/16,50.490002,50.59,50,50.07,17951600,49.414239,1
5/6/16,49.919998,50.389999,49.66,50.389999,24715600,49.730048,0
5/5/16,49.869999,50.299999,49.73,49.939999,25390700,49.285941,1
5/4/16,49.84,50.060001,49.459999,49.869999,24257600,49.216858,1
5/3/16,50.34,50.41,49.599998,49.779999,26460200,49.128037,1
5/2/16,50,50.75,49.779999,50.610001,33114500,49.947168,0
4/29/16,49.349998,50.25,49.349998,49.869999,48411700,49.216858,1
4/28/16,50.619999,50.77,49.560001,49.900002,43134800,49.246468,0
4/27/16,51.48,51.5,50.549999,50.939999,43369300,50.272844,0
4/26/16,52.259998,52.349998,51.09,51.439999,33532600,50.766296,0
4/25/16,51.779999,52.130001,51.630001,52.110001,33226900,51.427523,0
4/22/16,51.91,52.43,50.77,51.779999,126834100,51.101843,1
4/21/16,55.799999,56.23,55.419998,55.779999,38909100,55.049455,0
4/20/16,56.290001,56.5,55.490002,55.59,36195700,54.861945,1
4/19/16,56.630001,56.77,55.68,56.389999,29596800,55.651467,0
4/18/16,55.490002,56.59,55.209999,56.459999,23150300,55.72055,0
4/15/16,55.299999,55.919998,55.110001,55.650002,28793800,54.921161,1
4/14/16,55.220001,55.580002,55.07,55.360001,20877100,54.634958,1
4/13/16,55.119999,55.439999,54.889999,55.349998,20818000,54.625087,1
4/12/16,54.369999,54.779999,53.759998,54.650002,24944300,53.934258,1
4/11/16,54.490002,55.150002,54.299999,54.310001,21414200,53.59871,1
4/8/16,54.669998,55.279999,54.32,54.419998,22167200,53.707267,0
4/7/16,54.869999,54.91,54.23,54.459999,19225100,53.746744,0
4/6/16,54.360001,55.200001,54.209999,55.119999,21188700,54.3981,0
4/5/16,55.189999,55.299999,54.459999,54.560001,19272300,53.845436,1
4/4/16,55.43,55.66,55,55.43,18928800,54.704041,0
4/1/16,55.049999,55.610001,54.57,55.57,24399200,54.842207,0
3/31/16,54.950001,55.59,54.860001,55.23,26360500,54.506659,1
3/30/16,54.93,55.639999,54.900002,55.049999,23008300,54.329017,1
3/29/16,53.66,54.860001,53.450001,54.709999,23924300,53.993469,1
3/28/16,54.209999,54.290001,53.330002,53.540001,17025100,52.838795,1
3/24/16,53.84,54.330002,53.73,54.209999,19950000,53.500018,0
3/23/16,54.110001,54.240002,53.740002,53.970001,20129000,53.263163,1
3/22/16,53.610001,54.25,53.459999,54.07,23124100,53.361852,0
3/21/16,53.25,53.93,52.93,53.860001,23925700,53.154603,1
3/18/16,54.919998,54.970001,53.450001,53.490002,67625500,52.78945,1
3/17/16,54.209999,55,54,54.66,28223900,53.944125,0
3/16/16,53.450001,54.599998,53.400002,54.349998,31691700,53.638184,1
3/15/16,52.75,53.59,52.740002,53.59,21104800,52.888139,1
3/14/16,52.709999,53.59,52.630001,53.169998,24083600,52.473638,1
3/11/16,53,53.07,52.380001,53.07,32275700,52.374949,1
3/10/16,52.93,52.939999,51.16,52.049999,38387800,51.368307,1
3/9/16,51.889999,52.849998,51.860001,52.84,28251600,52.147962,0
3/8/16,50.799999,52.130001,50.599998,51.650002,33835100,50.973548,1
3/7/16,51.560001,51.799999,50.580002,51.029999,38407800,50.361666,1
3/4/16,52.400002,52.450001,51.709999,52.029999,33034200,51.348569,0
3/3/16,52.970001,52.970001,51.779999,52.349998,24427800,51.664377,0
3/2/16,52.41,52.959999,52.16,52.950001,29289900,52.256522,0
3/1/16,50.970001,52.59,50.919998,52.580002,33024500,51.891368,1
2/29/16,51.349998,51.650002,50.66,50.880001,31654000,50.213632,1
2/26/16,52.599998,52.68,51.099998,51.299999,35975900,50.62813,0
2/25/16,51.73,52.099998,50.610001,52.099998,26939500,51.417652,0
2/24/16,50.689999,51.5,50.200001,51.360001,33014500,50.687345,1
2/23/16,52.34,52.369999,50.98,51.18,28895300,50.509703,1
2/22/16,52.279999,53,52.279999,52.650002,25008300,51.960451,0
2/19/16,51.970001,52.279999,51.529999,51.82,33559100,51.14132,1
2/18/16,52.330002,52.950001,52.099998,52.189999,27176000,51.506473,0
2/17/16,51.490002,52.77,51.450001,52.419998,40789000,51.73346,0
2/16/16,50.900002,51.09,50.130001,51.09,37291200,50.420881,1
2/12/16,50.25,50.68,49.75,50.5,34243300,49.483325,1
2/11/16,48.68,50.110001,48.509998,49.689999,48878600,48.68963,1
2/10/16,49.889999,50.389999,49.52,49.709999,38237000,48.709228,0
2/9/16,49.02,50.240002,48.669998,49.279999,46740500,48.287885,1
2/8/16,49.549999,49.57,48.189999,49.41,59290500,48.415269,0
2/5/16,51.939999,52,49.560001,50.16,62009000,49.150169,0
2/4/16,52.099998,52.810001,51.369999,52,46987100,50.953126,0
2/3/16,53.25,53.389999,51.259998,52.16,57559800,51.109905,0
2/2/16,54.169998,54.259998,52.650002,53,56313800,51.932994,0
2/1/16,54.880001,55.09,54.5,54.709999,44208500,53.608567,0
1/29/16,54.73,55.09,54,55.09,83611700,53.980918,0
1/28/16,51.860001,52.209999,51.25,52.060001,62513800,51.01192,1
1/27/16,52.009998,52.200001,51.02,51.220001,36775200,50.188831,1
1/26/16,51.790001,52.439999,51.549999,52.169998,28900800,51.119702,0
1/25/16,51.939999,52.650002,51.650002,51.790001,34707700,50.747355,1
1/22/16,51.41,52.330002,51.259998,52.290001,37555800,51.237289,0
1/21/16,51,51.580002,50.299999,50.48,40191200,49.463727,1
1/20/16,49.98,51.380001,49.099998,50.790001,63273000,49.767487,0
1/19/16,51.48,51.68,50.060001,50.560001,43564500,49.542118,1
1/15/16,51.310001,51.970001,50.34,50.990002,70739100,49.963462,0
1/14/16,52,53.419998,51.57,53.110001,52381900,52.04078,0
1/13/16,53.799999,54.07,51.299999,51.639999,66883600,50.600373,1
1/12/16,52.759998,53.099998,52.060001,52.779999,36095500,51.717422,0
1/11/16,52.509998,52.849998,51.459999,52.299999,36943800,51.247086,1
1/8/16,52.369999,53.279999,52.150002,52.330002,48754000,51.276485,0
1/7/16,52.700001,53.490002,52.07,52.169998,56564900,51.119702,1
1/6/16,54.32,54.400002,53.639999,54.049999,39518900,52.961855,0
1/5/16,54.93,55.389999,54.540001,55.049999,34079700,53.941723,0
1/4/16,54.32,54.799999,53.389999,54.799999,53778000,53.696756,1
12/31/15,56.040001,56.189999,55.419998,55.48,26529600,54.363066,0
12/30/15,56.470001,56.779999,56.290001,56.310001,21704500,55.176358,0
12/29/15,56.290001,56.849998,56.060001,56.549999,27731400,55.411524,0
12/28/15,55.349998,55.950001,54.98,55.950001,22458300,54.823605,1
12/24/15,55.860001,55.959999,55.43,55.669998,9558500,54.54924,1
12/23/15,55.700001,55.880001,55.439999,55.82,27279800,54.696221,0
12/22/15,54.990002,55.48,54.5,55.349998,28322200,54.235682,1
12/21/15,54.880001,55.349998,54.23,54.830002,37246300,53.726154,1
12/18/15,55.77,56,54.029999,54.130001,84684200,53.040246,1
12/17/15,56.360001,56.790001,55.529999,55.700001,41280900,54.578638,0
12/16/15,55.540001,56.25,54.759998,56.130001,37503300,54.999982,0
12/15/15,55.66,55.900002,55.09,55.200001,39843000,54.088704,1
12/14/15,54.330002,55.209999,53.68,55.139999,46768900,54.029911,1
