Open,high,low,close,volume,movingAverageFiveDay,movingAverageTenDay,exponentialMovingAverage,rateOfChangeFiveDay,rateOfChangeTenDay,spyClose,spyMovingAverageFiveDay,spyMovingAverageTenDay,spyRateOfChangeFiveDay,spyRateOfChangeTenDay,djiClose,djiMovingAverageFiveDay,djiMovingAverageTenDay,djiRateOfChangeFiveDay,djiRateOfChangeTenDay,ixicClose,ixicMovingAverageFiveDay,ixicMovingAverageTenDay,ixicRateOfChangeFiveDay,ixicRateOfChangeTenDay,tnxClose,tnxMovingAverageFiveDay,tnxMovingAverageTenDay,tnxRateOfChangeFiveDay,tnxRateOfChangeTenDay,vixClose,vixMovingAverageFiveDay,vixMovingAverageTenDay,vixRateOfChangeFiveDay,vixRateOfChangeTenDay,label 

60.810001,61.200001,60.470001,60.630001,29911600,60.630001,60.630001,1.0,1.0,1.0,213.740005,213.740005,213.740005,1.0,1.0,18199.33008,18199.33008,18199.33008,1.0,1.0,5250.27002,5250.27002,5250.27002,1.0,1.0,1.79,1.79,1.79,1.0,1.0,14.24,14.24,14.24,1.0,1.0,0 

60.849998,61.369999,60.799999,60.990002,35137200,60.0,60.0,12.9980004,0.0059376710219746975,0.0059376710219746975,214.169998,213.0,213.0,0.0020117572281332925,0.0020117572281332925,18169.26953,18199.0,18199.0,-0.0016517393699580797,-0.0016517393699580797,5283.399902,5250.0,5250.0,0.006310129169318454,0.006310129169318454,1.758,1.0,1.0,-0.017877094972067055,-0.017877094972067055,13.46,14.0,14.0,-0.05477528089887636,0.0059376710219746975,0 

59.939999,61.0,59.93,61.0,54067000,60.0,60.0,22.598400320000003,0.006102572883018754,0.006102572883018754,214.889999,213.5,213.5,0.005380340474868017,0.005380340474868017,18223.0293,18184.0,18184.0,0.0013022028775687004,0.0013022028775687004,5309.830078,5266.5,5266.5,0.01134418949370532,0.01134418949370532,1.763,1.0,1.0,-0.015083798882681639,-0.015083798882681639,13.02,13.5,13.5,-0.08567415730337083,0.006102572883018754,0 

60.279999,60.450001,59.490002,59.66,80032200,60.333333333333336,60.333333333333336,30.010720256000003,-0.01599869675080499,-0.01599869675080499,213.979996,213.66666666666666,213.66666666666666,0.001122817415485713,0.001122817415485713,18145.71094,18197.0,18197.0,-0.002946215040020796,-0.002946215040020796,5257.399902,5280.666666666667,5280.666666666667,0.001358002916581456,0.001358002916581456,1.74,1.0,1.0,-0.02793296089385477,-0.02793296089385477,13.34,13.333333333333334,13.333333333333334,-0.06320224719101127,-0.01599869675080499,1 

57.5,57.52,56.66,57.25,49455600,60.0,60.0,35.4585762048,-0.05574799512208486,-0.05574799512208486,213.880005,213.5,213.5,6.550013882521186E-4,6.550013882521186E-4,18162.34961,18184.0,18184.0,-0.0020319687503573543,-0.0020319687503573543,5241.830078,5274.75,5274.75,-0.0016075253211452873,-0.0016075253211452873,1.747,1.0,1.0,-0.02402234636871504,-0.02402234636871504,13.75,13.25,13.25,-0.034410112359550576,-0.05574799512208486,1 

57.470001,57.84,57.400002,57.529999,22878400,59.4,59.4,39.87286076384,-0.05112983587118865,-0.05112983587118865,214.279999,213.4,213.4,0.002526405854627014,0.002526405854627014,18202.61914,18179.6,18179.6,1.807242346581558E-4,1.807242346581558E-4,5246.410156,5268.0,5268.0,-7.351743787074814E-4,-7.351743787074814E-4,1.752,1.0,1.0,-0.021229050279329628,-0.021229050279329628,14.41,13.2,13.2,0.011938202247191006,-0.05112983587118865,0 

57.529999,57.950001,57.41,57.66,19149500,58.8,59.0,43.430288611072,-0.05459914561078389,-0.04898566635352692,213.710007,213.6,213.5,-0.002147784490337448,-1.403480831770645E-4,18161.93945,18180.2,18183.333333333332,-4.0343283960297575E-4,-0.0020545058436567494,5243.839844,5267.2,5264.333333333333,-0.007487613796757046,-0.0012247324376661007,1.749,1.0,1.0,-0.0051194539249146175,-0.022905027932960852,15.28,13.2,13.333333333333334,0.1352154531946507,-0.04898566635352692,0 

57.360001,57.459999,56.869999,57.220001,23830000,58.2,58.714285714285715,46.1882310888576,-0.061967196721311416,-0.05624278317264083,212.380005,213.4,213.42857142857142,-0.011680366753596466,-0.006362870628734126,18086.40039,18178.6,18180.14285714286,-0.007497595912881481,-0.006205156426285382,5199.819824,5259.2,5261.285714285715,-0.02071822494957056,-0.009609066925666383,1.766,1.0,1.0,0.001701644923426043,-0.013407821229050291,16.209999,13.6,13.571428571428571,0.24500760368663596,-0.05624278317264083,1 

57.119999,57.740002,57.119999,57.419998,27402500,57.4,58.5,48.434584471086076,-0.037546128059000955,-0.0529441356928231,213.119995,213.0,213.25,-0.0040190719510061635,-0.0029007672195011307,18138.38086,18151.2,18168.375,-4.0395661675847927E-4,-0.003348981513719466,5214.160156,5237.2,5253.5,-0.00822454955034923,-0.006877715596044718,1.794,1.0,1.0,0.031034482758620717,0.002234636871508382,16.120001,14.2,13.875,0.20839587706146917,-0.0529441356928231,0 

56.700001,57.299999,56.32,56.919998,25313700,57.0,58.333333333333336,50.13166717686886,-0.005764227074235814,-0.061190878093503584,213.009995,213.0,213.22222222222223,-0.004067748174963843,-0.003415411167413386,18098.93945,18149.8,18165.0,-0.0034912971813452196,-0.005516171724931869,5213.330078,5228.6,5249.111111111111,-0.0054370324058413706,-0.00703581755972238,1.738,1.0,1.0,-0.005151688609044143,-0.029050279329608963,16.690001,14.8,14.11111111111111,0.21381825454545444,-0.061190878093503584,1 

57.110001,57.27,56.400002,57.110001,22177500,56.8,58.1,51.52733394149509,-0.007300504211724386,-0.05805706650079064,213.710007,213.0,213.2,-0.0026600336133099076,-1.403480831770645E-4,18144.19922,18137.0,18158.3,-0.0032094238499790024,-0.003029279635989828,5239.02002,5223.0,5245.5,-0.0014086081301798975,-0.0021427469362804317,1.778,1.0,1.0,0.01484018264840184,-0.006703910614525146,15.91,15.4,14.3,0.1040943789035392,-0.05805706650079064,0 

