Date,Open,High,Low,Close,Volume,Adj Close
10/27/16,1.82,1.87,1.815,1.843,0,1.843
10/26/16,1.781,1.797,1.774,1.79,0,1.79
10/25/16,1.774,1.779,1.742,1.758,0,1.758
10/24/16,1.737,1.775,1.726,1.763,0,1.763
10/21/16,1.751,1.758,1.731,1.74,0,1.74
10/20/16,1.749,1.768,1.724,1.747,0,1.747
10/19/16,1.756,1.77,1.729,1.752,0,1.752
10/18/16,1.77,1.787,1.745,1.749,0,1.749
10/17/16,1.789,1.789,1.757,1.766,0,1.766
10/14/16,1.778,1.794,1.752,1.794,0,1.794
10/13/16,1.755,1.76,1.729,1.738,0,1.738
10/12/16,1.799,1.801,1.771,1.778,0,1.778
10/11/16,1.771,1.781,1.745,1.759,0,1.759
10/10/16,1.723,1.723,1.723,1.723,0,1.723
10/7/16,1.741,1.771,1.718,1.736,0,1.736
10/6/16,1.714,1.746,1.709,1.742,0,1.742
10/5/16,1.686,1.73,1.68,1.716,0,1.716
10/4/16,1.624,1.686,1.615,1.683,0,1.683
10/3/16,1.6,1.626,1.596,1.622,0,1.622
9/30/16,1.548,1.615,1.545,1.608,0,1.608
9/29/16,1.584,1.601,1.543,1.557,0,1.557
9/28/16,1.572,1.572,1.543,1.567,0,1.567
9/27/16,1.562,1.575,1.546,1.556,0,1.556
9/26/16,1.599,1.606,1.574,1.589,0,1.589
9/23/16,1.618,1.632,1.608,1.615,0,1.615
9/22/16,1.648,1.648,1.608,1.632,0,1.632
9/21/16,1.684,1.724,1.662,1.668,0,1.668
9/20/16,1.686,1.693,1.668,1.688,0,1.688
9/19/16,1.693,1.705,1.686,1.696,0,1.696
9/16/16,1.67,1.703,1.665,1.701,0,1.701
9/15/16,1.682,1.734,1.665,1.703,0,1.703
9/14/16,1.712,1.722,1.682,1.689,0,1.689
9/13/16,1.663,1.752,1.661,1.734,0,1.734
9/12/16,1.687,1.696,1.661,1.672,0,1.672
9/9/16,1.656,1.678,1.647,1.672,0,1.672
9/8/16,1.551,1.62,1.551,1.616,0,1.616
9/7/16,1.534,1.544,1.519,1.541,0,1.541
9/6/16,1.604,1.608,1.534,1.543,0,1.543
9/2/16,1.582,1.621,1.544,1.596,0,1.596
9/1/16,1.594,1.619,1.556,1.57,0,1.57
8/31/16,1.575,1.583,1.554,1.568,0,1.568
8/30/16,1.57,1.582,1.561,1.57,0,1.57
8/29/16,1.618,1.618,1.563,1.566,0,1.566
8/26/16,1.566,1.635,1.531,1.635,0,1.635
8/25/16,1.559,1.583,1.554,1.577,0,1.577
8/24/16,1.549,1.57,1.544,1.559,0,1.559
8/23/16,1.556,1.563,1.527,1.553,0,1.553
8/22/16,1.568,1.57,1.536,1.539,0,1.539
8/19/16,1.556,1.592,1.556,1.578,0,1.578
8/18/16,1.549,1.566,1.525,1.536,0,1.536
8/17/16,1.581,1.587,1.537,1.561,0,1.561
8/16/16,1.529,1.587,1.515,1.576,0,1.576
8/15/16,1.52,1.556,1.519,1.553,0,1.553
8/12/16,1.537,1.537,1.48,1.515,0,1.515
8/11/16,1.515,1.576,1.503,1.573,0,1.573
8/10/16,1.532,1.54,1.501,1.509,0,1.509
8/9/16,1.594,1.594,1.537,1.545,0,1.545
8/8/16,1.599,1.616,1.575,1.583,0,1.583
8/5/16,1.499,1.587,1.499,1.582,0,1.582
8/4/16,1.521,1.527,1.484,1.503,0,1.503
8/3/16,1.547,1.571,1.53,1.542,0,1.542
8/2/16,1.552,1.571,1.516,1.537,0,1.537
8/1/16,1.494,1.508,1.475,1.496,0,1.496
7/29/16,1.525,1.53,1.458,1.458,0,1.458
7/28/16,1.525,1.535,1.493,1.511,0,1.511
7/27/16,1.57,1.57,1.511,1.515,0,1.515
7/26/16,1.559,1.587,1.549,1.563,0,1.563
7/25/16,1.584,1.584,1.554,1.571,0,1.571
7/22/16,1.585,1.599,1.544,1.57,0,1.57
7/21/16,1.601,1.628,1.563,1.565,0,1.565
7/20/16,1.568,1.596,1.566,1.58,0,1.58
7/19/16,1.553,1.575,1.546,1.558,0,1.558
7/18/16,1.577,1.604,1.556,1.587,0,1.587
7/15/16,1.539,1.601,1.536,1.594,0,1.594
7/14/16,1.52,1.551,1.52,1.531,0,1.531
7/13/16,1.476,1.481,1.459,1.468,0,1.468
7/12/16,1.474,1.531,1.471,1.513,0,1.513
7/11/16,1.407,1.434,1.39,1.434,0,1.434
7/8/16,1.39,1.441,1.365,1.366,0,1.366
7/7/16,1.393,1.422,1.37,1.387,0,1.387
7/6/16,1.336,1.395,1.336,1.385,0,1.385
7/5/16,1.402,1.405,1.357,1.367,0,1.367
7/1/16,1.429,1.473,1.414,1.456,0,1.456
6/30/16,1.504,1.512,1.455,1.488,0,1.488
6/29/16,1.465,1.48,1.456,1.477,0,1.477
6/28/16,1.478,1.483,1.45,1.461,0,1.461
6/27/16,1.47,1.49,1.45,1.46,0,1.46
6/24/16,1.526,1.587,1.526,1.579,0,1.579
6/23/16,1.739,1.748,1.708,1.739,0,1.739
6/22/16,1.703,1.711,1.68,1.685,0,1.685
6/21/16,1.68,1.706,1.661,1.697,0,1.697
6/20/16,1.673,1.682,1.656,1.67,0,1.67
6/17/16,1.598,1.622,1.582,1.618,0,1.618
6/16/16,1.569,1.581,1.518,1.564,0,1.564
6/15/16,1.63,1.63,1.577,1.596,0,1.596
6/14/16,1.591,1.616,1.574,1.611,0,1.611
6/13/16,1.639,1.64,1.61,1.616,0,1.616
6/10/16,1.658,1.661,1.627,1.639,0,1.639
6/9/16,1.676,1.683,1.659,1.68,0,1.68
6/8/16,1.716,1.716,1.697,1.706,0,1.706
6/7/16,1.726,1.726,1.704,1.713,0,1.713
6/6/16,1.721,1.742,1.713,1.723,0,1.723
6/3/16,1.794,1.797,1.699,1.704,0,1.704
6/2/16,1.839,1.841,1.797,1.811,0,1.811
6/1/16,1.83,1.849,1.806,1.846,0,1.846
5/31/16,1.874,1.89,1.834,1.834,0,1.834
5/27/16,1.827,1.856,1.825,1.851,0,1.851
5/26/16,1.861,1.865,1.821,1.823,0,1.823
5/25/16,1.873,1.875,1.849,1.87,0,1.87
5/24/16,1.846,1.88,1.839,1.859,0,1.859
5/23/16,1.833,1.856,1.826,1.838,0,1.838
5/20/16,1.866,1.866,1.837,1.849,0,1.849
5/19/16,1.868,1.88,1.831,1.845,0,1.845
5/18/16,1.781,1.882,1.779,1.88,0,1.88
5/17/16,1.76,1.774,1.736,1.759,0,1.759
5/16/16,1.722,1.755,1.722,1.753,0,1.753
5/13/16,1.731,1.755,1.705,1.705,0,1.705
